ACCE_ABSORB_COST	Стоимость сочетания: %d
TOOLTIP_AFFECT_MI_BUFF	Усиление за захват \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Падение с ездового животного	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Бурный натиск	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Усиливает эффект скачки	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	Опыт	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Легкая походка	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Меткость	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Непобедимость	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Сила против Ниндзя
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Сила против Шаманов
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Сила против сур
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Сила против Воинов
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Сила против Ликанов
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Без отдачи	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Ловкие копыта	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Сила против зверей
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Сила против зодиак-монстров
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Сила против монстров пустыни
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Сила против дьяволов
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Сила против полулюдей
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Сила против насекомых
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Сила против мистиков
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Сила против всех монстров
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Сила против нежити
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Сила против орков
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Воля Сунг Ма (ЗДОР)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Воля Сунг Ма (ИНТ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Воля Сунг Ма (СОПР)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Воля Сунг Ма (СИЛ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Скачка	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Макс. запас ХП Асмодея снижен на %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	На карте «Погибель» на вас не действует заклятие Асмодея.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Урон монстрам снижен на 30%.	SNA
TOOLTIP_AFFECT_PASWAE	На 5 секунд снижает защиту и скорость передвижения.
TOOLTIP_AFFECT_POLYMORPH	Превращение	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Личная премиум-лавка	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Увеличить время перезарядки	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Сопротивление урону от навыков +15% | Сопротивление урону от обычных атак +15%	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Эликсир Исследователя	SNA
TOOLTIP_AFFECT_RHP_REGEN	Отдыхать нельзя	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Бонус склада\n +3% к опыту	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Бонус склада\n+20 к защите	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Бонус склада\n+1% к очкам жизн. энергии	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Бонус склада\n+3% к силе против монстров	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Успешно пройдя Храм змеи или Бездну северного ветра, вы получите бонусный ящик с сокровищами.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Успешно пройдя Храм Зодиака или победив Йотун Трима, вы получите бонусный ящик с сокровищами.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Победив Азраэля или Беран-Сету, вы получите бонусный ларец с сокровищами.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Прогресс по Храму загадки (бонус A): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Прогресс по Храму загадки (бонус B): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Прогресс по Храму загадки (бонус C): %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Священный бонус за набор	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Роскошный бонус за набор	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Рыцарский бонус за набор	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Царский бонус за набор	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Выдающийся бонус за набор	SNA
TOOLTIP_AFFECT_SHACKLE	Кандалы
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Зимние чары	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Получено\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Не получено\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Снежные чары	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Вы можете получать снежки и ветки снеговика из побежденных монстров.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Заклятие Сунг Махи (накоплено: %d). Ваше число ОЗ с каждым зарядом уменьшается на 10%% каждые 10 сек. Может накапливаться до 10 раз.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Повышает все показатели Сунг Ма на 10%.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Это место наполнено волей Сунг Махи.
TOOLTIP_AFFECT_SUNGMA_HP	Воля Сунг Ма (ЗДОР): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Повышает вашу волю Сунг Ма (ЗДОР) на +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Воля Сунг Ма (ИНТ): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Повышает вашу волю Сунг Ма (ИНТ) на +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Воля Сунг Ма (СОПР): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Повышает вашу волю Сунг Ма (СОПР) на +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 к воле Сунг Ма (СОПР)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Воля Сунг Ма (СИЛ): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Повышает вашу волю Сунг Ма (СИЛ) на +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 к воле Сунг Ма (СИЛ)	SNA
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Ежедневный бонус за мирового босса\n Показатель атаки +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Ранговый бонус за мирового босса\n Выпадение предметов +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	При малом числе очков рейтинга повышается наносимый урон.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Сопротивление критическим ударам +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Сопротивление пронзающим ударам +%d%%	SA
TOOLTIP_ANTI_SELL	В магазине не продаётся.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Доля поглощения: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Сила против зверей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Сила против Ниндзя +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Надлом защиты от колокольчиков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Надлом защиты от стрел +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Надлом защиты от когтей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Сила против зодиак-монстров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Надлом защиты от кинжалов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Сила против монстров пустыни +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Сила против Дьявола +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Надлом защиты от вееров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Сила против  Полулюдей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Сила против насекомых +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Сила против Мистиков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Сила против Монстров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Сила против Орков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Сила против Шаманов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Сила против Сура +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Надлом защиты от мечей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Надлом защиты от двуручного оружия +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Сила против Нежити +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Сила против Воинов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Сила против ликана + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Вызвать кровотечение + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Сопротивление кровотечению + %d%%	SA
TOOLTIP_APPLY_BLOCK	Шанс на блокацию физической атаки %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Восстановление МП в бою каждые 5 Сек. %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%% шансов на Критический удар	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% шансов восстановить МП при попадании	SA
TOOLTIP_APPLY_DODGE	Шанс на увернуться от стрелы %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Сила тьмы +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Сила тьмы +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Сила земли +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Сила земли +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Сила молний +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Сила молний +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Сила огня +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Сила огня +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Сила льда +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Сила льда +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Сила ветра +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Сила ветра +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% шансов на бонус к опыту	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% шансов выбросить вдвое больше янг	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Иммунитет против кровотечения	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Иммунный против падения	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Иммунитет против яда	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Защита от замедления	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Защита от головокружения	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% шансов выбросить вдвое больше предметов	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% шансов восстановить ХП	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% шансов восстановить МП	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% шансов забрать MP противника	SA
TOOLTIP_APPLY_MAX_HP_PCT	Макс. ХП +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Макс. МП +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Сопротивление атакам монстров %d	SA
TOOLTIP_APPLY_NOAFFECT	Без результата
TOOLTIP_APPLY_NO_DEATH_PENALTY	Отсутствие потери опыта в случае смерти.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Бог-Дракон распростер над вами свои крылья. Когда вас оживляют на борту, вы не теряете очки опыта.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% шансов на нанесение пронзающего удара	SA
TOOLTIP_APPLY_POISON_PCT	Шансы на отравление :%d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Сопротивление яду %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Зелье %d%% рост эффекта	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% шансов отразить заклинание	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%%  шансов отразить физическую атаку	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Шансы на отражение Ниндзя %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Защита от удара колокольчиком  %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Защита от когтей + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Защита от удара кинжалом %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Защита от удара веером %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Сопротивляемость полулюдям%d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Сопротивляемость к падению +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Шансы на отражение атаки Шаманов  %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Шансы на отражение атаки Сура %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Защита от удара мечом %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Защита от двуручного оружия %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Шансы на отражение атак Воинов %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Сопротивляемость ветру %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Шанс отразить атаку ликана %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Шансы при обучении по книгам увеличены в 2,5 раза	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Если обучение не удалось, Вы можете тут же попробовать еще раз.	SNA
TOOLTIP_APPLY_SLOW_PCT	Шансы на замедление: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Урон %d%% добавляется к ХП.	SA
TOOLTIP_APPLY_STEAL_SP	Урон %d%% добавляется к МП.	SA
TOOLTIP_APPLY_STUN_PCT	Шансы на головокружение:  %d%%	SA
TOOLTIP_ARMOR	Броня
TOOLTIP_ARROW	Стрела
TOOLTIP_ASSASSIN	Ниндзя
TOOLTIP_ATTBONUS_PER_ANIMAL	Сила против зверей (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_CZ	Сила против зодиак-монстров (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Сила против монстров пустыни (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Сила против дьяволов (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Сила против полулюдей (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Сила против насекомых (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Сила против мистиков (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Сила против монстров (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_ORC	Сила против орков (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_STONE	Сила против камней метина (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Сила против нежити (+%d%% от общего значения)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% силы против камней метина	SA
TOOLTIP_ATT_GRADE	Показатель атаки +%d	SA
TOOLTIP_ATT_SPEED	Скорость атаки +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Скорость атаки снижена	SNA
TOOLTIP_AUTO_PICKUP	У вас есть шанс в %d%% автоматически подбирать предметы поблизости в течение 30 секунд	SA
TOOLTIP_AUTO_POTION_HP	Эликсир солнца
TOOLTIP_AUTO_POTION_REST	Остаток: %.2f%%
TOOLTIP_AUTO_POTION_SP	Эликсир луны
TOOLTIP_AUTO_POTION_USING	Активен
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Автоохота	SNA
TOOLTIP_BATTLE_POTION	Боевое зелье для поля боя	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Бесконечная выносливость	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Скорость передвижения повышена	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Скорость передвижения понижена	SNA
TOOLTIP_BOW_DISTANCE	Радиус действия +%dm	SA
TOOLTIP_BUYPRICE	Цена: %s
TOOLTIP_CAST_SPEED	Скорость заклинания +%d%%	SA
TOOLTIP_CON	Здоровье +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Бонус костюма %d%%	SA
TOOLTIP_CURSE_OF_ELEMENTAL	Стихийное проклятие (накоплено %d раз(а)) Число ваших ОЗ постоянно уменьшается. Может накапливаться до 10 раз.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Превращает %d%% полученного урона в ХП	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Превращает %d%% полученного урона в МП	SA
TOOLTIP_DEF_GRADE	Защита +%d	SA
TOOLTIP_DEX	Подвижность+%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Когда вы слезаете с ездового животного, ваша скорость передвижения на 10 секунд повышается на %d%%	SA
TOOLTIP_DRAGON_SOUL_DECK1	Небеса	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Земля	SNA
TOOLTIP_DS_SET	Эффект за набор КД	SNA
TOOLTIP_DURATION	Длительность
TOOLTIP_EAR	Серьги
TOOLTIP_ENCHANT_PER_DARK	Сила тьмы (+%d%% от общего значения)	SA
TOOLTIP_ENCHANT_PER_EARTH	Сила земли (+%d%% от общего значения)	SA
TOOLTIP_ENCHANT_PER_ELECT	Сила молний (+%d%% от общего значения)	SA
TOOLTIP_ENCHANT_PER_FIRE	Сила огня (+%d%% от общего значения)	SA
TOOLTIP_ENCHANT_PER_ICE	Сила льда (+%d%% от общего значения)	SA
TOOLTIP_ENCHANT_PER_WIND	Сила ветра (+%d%% от общего значения)	SA
TOOLTIP_ENERGY	Энергия %d	SA
TOOLTIP_ETC	и т.д.
TOOLTIP_EXP_BONUS_EVENT	Опыт +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5-й добавленный бонус +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1-й добавленный бонус +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Очки: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Уровень:  %d
TOOLTIP_FISHINGROD_UPGRADE1	Отдать рыбаку,
TOOLTIP_FISHINGROD_UPGRADE2	чтобы получить
TOOLTIP_FISHINGROD_UPGRADE3	улучшеное удилище.
TOOLTIP_FISH_LEN	Длина: %.2f см.
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Цветочные семена
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4-й добавленный бонус +%d%%	SA
TOOLTIP_GLOVE	Перчатки
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Осталось покупок: %d
TOOLTIP_GUILD_SKILL_ACCEL	Ускорение +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Благословение Бога-Дракона +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Кровь Бога-Дракона +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Ярость Бога-Дракона +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Помощь сотворения заклинаний +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Священная защита +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% к опыту | +5% к выпадению предметов | +10% к силе против монстров	SNA
TOOLTIP_HELMET	Шлем
TOOLTIP_HIT_AUTO_HP_RECOVERY	Во время боя вы получаете эффект Эликсира солнца	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Во время боя вы получаете эффект Эликсира луны	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Получите на %d сек. в бою силу тьмы	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Получите на %d сек. в бою силу земли	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Получите на %d сек. в бою силу молний	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Получите на %d сек. в бою силу огня	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Получите на %d сек. в бою силу льда	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Получите на %d сек. в бою силу ветра	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Получите на %d сек. в бою сопротивляемость тьме	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Получите на %d сек. в бою сопротивляемость земле	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Получите на %d сек. в бою сопротивляемость молниям	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Получите на %d сек. в бою сопротивляемость огню	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Получите на %d сек. в бою сопротивляемость льду	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Получите на %d сек. в бою сопротивляемость ветру	SA
TOOLTIP_HIT_BUFF_SUNGMA_HP	Повышает волю Сунг Ма (ЗДОР) в бою на 15 ед. на %d сек.	SA
TOOLTIP_HIT_BUFF_SUNGMA_IMMUNE	Повышает волю Сунг Ма (ИНТ) в бою на 15 ед. на %d сек.	SA
TOOLTIP_HIT_BUFF_SUNGMA_MOVE	Повышает волю Сунг Ма (СОПР) в бою на 15 ед. на %d сек.	SA
TOOLTIP_HIT_BUFF_SUNGMA_STR	Повышает волю Сунг Ма (СИЛ) в бою на 15 ед. на %d сек.	SA
TOOLTIP_HIT_PCT	Меткость +%d	SA
TOOLTIP_HIT_STONE_ATTBONUS_STONE	Атакуя камень метина, вы на 5 секунд получаете +%d%% к урону (сила против камней метина)	SA
TOOLTIP_HIT_STONE_DEF_GRADE_BONUS	Атакуя камень метина, вы на 5 секунд получаете +%d к защите	SA
TOOLTIP_HP_REGEN	ХП-регенерация +%d%%	SA
TOOLTIP_INSIGHT_SKILL_LEVEL	Актуальный уровень: %d
TOOLTIP_INT	Интеллект +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Показатель атаки %d
TOOLTIP_ITEM_ATT_POWER	Показатель атаки %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Показатель атаки  %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Показатель атаки %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Скорость атаки %s
TOOLTIP_ITEM_DEF_GRADE	Защита %d
TOOLTIP_ITEM_FAST	Быстро
TOOLTIP_ITEM_LIMIT_CON	Предел здоровья: %d
TOOLTIP_ITEM_LIMIT_DEX	Предел подвижности: %d
TOOLTIP_ITEM_LIMIT_INT	Предел интеллекта: %d
TOOLTIP_ITEM_LIMIT_LEVEL	с уровня: %d
TOOLTIP_ITEM_LIMIT_NEWWORLD_LEVEL	Мин. чемпионский уровень: %d
TOOLTIP_ITEM_LIMIT_STR	Предел силы: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Показатель магической атаки %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Показатель магической атаки %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Магическая защита %d
TOOLTIP_ITEM_NORMAL	нормально
TOOLTIP_ITEM_SLOW	медленно
TOOLTIP_ITEM_VERY_FAST	очень быстро
TOOLTIP_ITEM_VERY_SLOW	очень медленно
TOOLTIP_ITEM_WEARABLE_JOB	[можно снаряжать]
TOOLTIP_KILL_BOSS_ITEM_BONUS	При победе над боссом ваш шанс на добычу повышается на %d%%	SA
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Счастливое число: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Магическая атака +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Показатель магической атаки +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Магическая защита +%d	SA
TOOLTIP_MALL_ATTBONUS	Показатель атаки +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Показатель атаки	SNA
TOOLTIP_MALL_AUTOLOOT	Янг принимается автом.	SNA
TOOLTIP_MALL_DEFBONUS	Защита +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Защита	SNA
TOOLTIP_MALL_EXPBONUS	Опыт +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	иКафе бонус к опыту +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	на 50% больше опыта	SNA
TOOLTIP_MALL_FISH_MIND	Повышенный шанс поймать рыбу.	SNA
TOOLTIP_MALL_GOLDBONUS	Шансы на выпадение янг увеличены на %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Удвоенные шансы на выпадение янг	SNA
TOOLTIP_MALL_ITEMBONUS	Шансы на выпадение предметов увеличены на %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	иКафе-шанс на получение предметов плюс %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Шанс на выпадение предметов увеличен на 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Очки любви возрастают быстрее.	SNA
TOOLTIP_MALL_SAFEBOX	В вашем распоряжении больше складских помещений.	SNA
TOOLTIP_MAX_HP	Максим. ХП +%d	SA
TOOLTIP_MAX_HP_PCT	Максим. ХП +%d%%	SA
TOOLTIP_MAX_SP	Максим. МП +%d	SA
TOOLTIP_MAX_SP_PCT	Максим. МП +%d%%	SA
TOOLTIP_MAX_STAMINA	Максим. выносливость +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Магическая, ближняя атака +%d%%	SA
